Trimestre;Sentido transacción;Zona geográfica;Evolución trimestral del volumen de negocio (€)
2016T3;Desde España con el exterior;Asia Pacífico;35453507,88
2016T3;Desde España con el exterior;C.E.M.E.A.;42502235,19
2016T3;Desde España con el exterior;Estados Unidos;90591080,19
2016T3;Desde España con el exterior;Resto;7340051,95
2016T3;Desde España con el exterior;Unión Europea;2443862977,58
2016T4;Dentro de España;Dentro de España;2688351693,75
2016T4;Desde el exterior con España;América Latina;63194799,32
2016T4;Desde el exterior con España;Asia Pacífico;40539215,53
2016T4;Desde el exterior con España;C.E.M.E.A.;64282565,3
2016T4;Desde el exterior con España;Estados Unidos;57421355,41
2016T4;Desde el exterior con España;Resto;13231165,6
2016T4;Desde el exterior con España;Unión Europea;624514761,32
2016T4;Desde España con el exterior;América Latina;12714318,32
2016T4;Desde España con el exterior;Asia Pacífico;38410455,96
2016T4;Desde España con el exterior;C.E.M.E.A.;50239362,87
2016T4;Desde España con el exterior;Estados Unidos;94605309,15
2016T4;Desde España con el exterior;Resto;9774289,04
2016T4;Desde España con el exterior;Unión Europea;2898632212,66
2017T1;Dentro de España;Dentro de España;2633810070,67
2017T1;Desde el exterior con España;América Latina;81060661,15
2017T1;Desde el exterior con España;Asia Pacífico;55181765,96
2017T1;Desde el exterior con España;C.E.M.E.A.;91698437,71
2017T1;Desde el exterior con España;Estados Unidos;77870138,45
2017T1;Desde el exterior con España;Resto;17248802,04
2017T1;Desde el exterior con España;Unión Europea;785306194,08
2017T1;Desde España con el exterior;América Latina;8940890,35
2017T1;Desde España con el exterior;Asia Pacífico;37555546,73
2017T1;Desde España con el exterior;C.E.M.E.A.;62819686,23
2017T1;Desde España con el exterior;Estados Unidos;90297722,32
2017T1;Desde España con el exterior;Resto;11540914,16
2017T1;Desde España con el exterior;Unión Europea;2803595104,26
2017T2;Dentro de España;Dentro de España;2817100756,63
2017T2;Desde el exterior con España;América Latina;101498926,71
2017T2;Desde el exterior con España;Asia Pacífico;63740613,09
2017T2;Desde el exterior con España;C.E.M.E.A.;107899976,72
2017T2;Desde el exterior con España;Estados Unidos;90762999,68
2017T2;Desde el exterior con España;Resto;18613924,44
2017T2;Desde el exterior con España;Unión Europea;893751312,3
2017T2;Desde España con el exterior;América Latina;8942545,94
2017T2;Desde España con el exterior;Asia Pacífico;38447134,22
2017T2;Desde España con el exterior;C.E.M.E.A.;77258172,26
2017T2;Desde España con el exterior;Estados Unidos;91829120,93
2017T2;Desde España con el exterior;Resto;30385498,5
2017T2;Desde España con el exterior;Unión Europea;2997876036
2017T3;Dentro de España;Dentro de España;2970880673,29
2017T3;Desde el exterior con España;América Latina;111316943,2
2017T3;Desde el exterior con España;Asia Pacífico;79762927,54
2017T3;Desde el exterior con España;C.E.M.E.A.;127265112,18
2017T3;Desde el exterior con España;Estados Unidos;75886238,93
2017T3;Desde el exterior con España;Resto;19564668,44
2017T3;Desde el exterior con España;Unión Europea;902071501,01
2017T3;Desde España con el exterior;América Latina;8657751,37
2017T3;Desde España con el exterior;Asia Pacífico;47157347,3
2017T3;Desde España con el exterior;C.E.M.E.A.;83255569,91
2017T3;Desde España con el exterior;Estados Unidos;98022905,81
2017T3;Desde España con el exterior;Resto;28085975,08
2017T3;Desde España con el exterior;Unión Europea;3233252397,4
2017T4;Dentro de España;Dentro de España;3104990960,4
2017T4;Desde el exterior con España;América Latina;105403451,36
2017T4;Desde el exterior con España;Asia Pacífico;74554348,65
2017T4;Desde el exterior con España;C.E.M.E.A.;97584345,03
2017T4;Desde el exterior con España;Estados Unidos;57109967,83
2017T4;Desde el exterior con España;Resto;15868108,06
2017T4;Desde el exterior con España;Unión Europea;823545261,04
2017T4;Desde España con el exterior;América Latina;8917573,1
2017T4;Desde España con el exterior;Asia Pacífico;59029057,37
2017T4;Desde España con el exterior;C.E.M.E.A.;94299898,96
2017T4;Desde España con el exterior;Estados Unidos;97031418,9
2017T4;Desde España con el exterior;Resto;34162667,33
2017T4;Desde España con el exterior;Unión Europea;3953389083,65
2018T1;Dentro de España;Dentro de España;3135507565,79
2018T1;Desde el exterior con España;América Latina;128516521,63
2018T1;Desde el exterior con España;Asia Pacífico;80553013,33
2018T1;Desde el exterior con España;C.E.M.E.A.;123898189,87
2018T1;Desde el exterior con España;Estados Unidos;76412436,78
2018T1;Desde el exterior con España;Resto;19331424,78
2018T1;Desde el exterior con España;Unión Europea;1164856360,73
2018T1;Desde España con el exterior;América Latina;9824387,33
2018T1;Desde España con el exterior;Asia Pacífico;52702378,69
2018T1;Desde España con el exterior;C.E.M.E.A.;104503636,35
2018T1;Desde España con el exterior;Estados Unidos;95094757,08
2018T1;Desde España con el exterior;Resto;35608939,86
2018T1;Desde España con el exterior;Unión Europea;3946690998,8
2018T2;Dentro de España;Dentro de España;3100809035,58
2018T2;Desde el exterior con España;América Latina;143128992,51
2018T2;Desde el exterior con España;Asia Pacífico;94262306,78
2018T2;Desde el exterior con España;C.E.M.E.A.;141434939,37
2018T2;Desde el exterior con España;Estados Unidos;107911919,14
2018T2;Desde el exterior con España;Resto;24683465,88
2018T2;Desde el exterior con España;Unión Europea;1278947836,24
2018T2;Desde España con el exterior;América Latina;9496777,61
2018T2;Desde España con el exterior;Asia Pacífico;59647919,97
2018T2;Desde España con el exterior;C.E.M.E.A.;111084013,59
2018T2;Desde España con el exterior;Estados Unidos;98780789,01
2018T2;Desde España con el exterior;Resto;23183379,86
